Huc Cd	Huc Class Cd	Huc Nm
5130202	Cataloging Unit	Lower Cumberland-Sycamore
5130203	Cataloging Unit	Stones
5130204	Cataloging Unit	Harpeth
5130205	Cataloging Unit	Lower Cumberland
5130206	Cataloging Unit	Red
5140101	Cataloging Unit	Silver-Little Kentucky
5140102	Cataloging Unit	Salt
5140103	Cataloging Unit	Rolling Fork
5140104	Cataloging Unit	Blue-Sinking
5140201	Cataloging Unit	Lower Ohio-Little Pigeon
5140202	Cataloging Unit	Highland-Pigeon
5140203	Cataloging Unit	Lower Ohio-Bay
5140204	Cataloging Unit	Saline
5140205	Cataloging Unit	Tradewater
5140206	Cataloging Unit	Lower Ohio
6010101	Cataloging Unit	North Fork Holston
6010102	Cataloging Unit	South Fork Holston
6010103	Cataloging Unit	"Watauga, North Carolina, Tennessee"
6010104	Cataloging Unit	Holston
6010105	Cataloging Unit	Upper French Broad
6010106	Cataloging Unit	Pigeon
6010107	Cataloging Unit	Lower French Broad
6010108	Cataloging Unit	Nolichucky
6010201	Cataloging Unit	Watts Bar Lake
6010202	Cataloging Unit	Upper Little Tennessee
6010203	Cataloging Unit	Tuckasegee
6010204	Cataloging Unit	Lower Little Tennessee
6010205	Cataloging Unit	"Upper Clinch, Tennessee, Virginia"
6010206	Cataloging Unit	Powell
6010207	Cataloging Unit	Lower Clinch
6010208	Cataloging Unit	Emory
6020001	Cataloging Unit	Middle Tennessee-Chickamauga
6020002	Cataloging Unit	Hiwassee
6020003	Cataloging Unit	Ocoee
6020004	Cataloging Unit	Sequatchie
6030001	Cataloging Unit	Guntersville Lake
6030002	Cataloging Unit	Wheeler Lake
6030003	Cataloging Unit	Upper Elk
6030004	Cataloging Unit	Lower Elk
6030005	Cataloging Unit	Pickwick Lake
6030006	Cataloging Unit	Bear
6040001	Cataloging Unit	Lower Tennessee-Beech
6040002	Cataloging Unit	Upper Duck
6040003	Cataloging Unit	Lower Duck
6040004	Cataloging Unit	Buffalo
6040005	Cataloging Unit	Kentucky Lake
6040006	Cataloging Unit	Lower Tennessee
7010101	Cataloging Unit	Mississippi Headwaters
7010102	Cataloging Unit	Leech Lake
7010103	Cataloging Unit	Prairie-Willow
7010104	Cataloging Unit	Elk-Nokasippi
7010105	Cataloging Unit	Pine
7010106	Cataloging Unit	Crow Wing
7010107	Cataloging Unit	Redeye
7010108	Cataloging Unit	Long Prairie
7010201	Cataloging Unit	Platte-Spunk
7010202	Cataloging Unit	Sauk
7010203	Cataloging Unit	Clearwater-Elk
7010204	Cataloging Unit	Crow
7010205	Cataloging Unit	South Fork Crow
7010206	Cataloging Unit	Twin Cities
7010207	Cataloging Unit	Rum
7020001	Cataloging Unit	Upper Minnesota
7020002	Cataloging Unit	Pomme De Terre
7020003	Cataloging Unit	Lac Qui Parle
7020004	Cataloging Unit	Hawk-Yellow Medicine
7020005	Cataloging Unit	Chippewa
